@iter
unbpe finished for wait 1..10(catchup) for both dev/test set
----------BLEU on dev----------
4 refences
wait_1  BLEU = 33.17, 72.0/43.4/26.4/16.4 (BP=0.972, ratio=0.973, hyp_len=22402, ref_len=23030)
wait_2  BLEU = 32.58, 73.3/44.5/27.9/18.1 (BP=0.909, ratio=0.913, hyp_len=20818, ref_len=22805)
wait_3  BLEU = 28.02, 73.7/45.3/28.3/18.2 (BP=0.774, ratio=0.796, hyp_len=18022, ref_len=22648)
wait_4  BLEU = 18.29, 76.7/47.9/30.9/20.3 (BP=0.470, ratio=0.570, hyp_len=12422, ref_len=21812)
wait_5  BLEU = 10.07, 77.5/49.6/32.1/21.5 (BP=0.250, ratio=0.419, hyp_len=8956, ref_len=21388)
wait_6  BLEU = 6.01, 78.4/49.8/33.0/22.1 (BP=0.146, ratio=0.342, hyp_len=7241, ref_len=21161)
wait_7  BLEU = 0.99, 79.9/52.7/37.0/25.7 (BP=0.022, ratio=0.208, hyp_len=4349, ref_len=20929)
wait_8  BLEU = 2.58, 78.3/50.3/34.4/23.9 (BP=0.061, ratio=0.263, hyp_len=5524, ref_len=21000)
wait_9  BLEU = 1.20, 80.3/52.3/36.2/25.0 (BP=0.027, ratio=0.217, hyp_len=4555, ref_len=20966)
wait_10  BLEU = 0.58, 80.1/52.9/36.2/25.6 (BP=0.013, ratio=0.187, hyp_len=3923, ref_len=20945)

refence 0
wait_1  BLEU = 19.83, 53.0/25.4/14.2/8.4 (BP=0.991, ratio=0.991, hyp_len=22402, ref_len=22601)
wait_2  BLEU = 19.16, 54.5/26.3/14.7/9.0 (BP=0.918, ratio=0.921, hyp_len=20818, ref_len=22601)
wait_3  BLEU = 16.53, 54.5/26.6/15.2/9.3 (BP=0.776, ratio=0.797, hyp_len=18022, ref_len=22601)
wait_4  BLEU = 9.99, 57.4/28.0/16.2/10.1 (BP=0.441, ratio=0.550, hyp_len=12422, ref_len=22601)
wait_5  BLEU = 5.23, 58.7/29.4/17.3/11.1 (BP=0.218, ratio=0.396, hyp_len=8956, ref_len=22601)
wait_6  BLEU = 2.94, 60.1/29.8/17.9/11.2 (BP=0.120, ratio=0.320, hyp_len=7241, ref_len=22601)
wait_7  BLEU = 0.42, 62.3/33.4/21.1/14.3 (BP=0.015, ratio=0.192, hyp_len=4349, ref_len=22601)
wait_8  BLEU = 1.15, 60.6/30.3/18.5/12.1 (BP=0.045, ratio=0.244, hyp_len=5524, ref_len=22601)
wait_9  BLEU = 0.52, 62.2/32.6/20.4/13.5 (BP=0.019, ratio=0.202, hyp_len=4555, ref_len=22601)
wait_10  BLEU = 0.24, 62.4/33.4/20.6/14.0 (BP=0.009, ratio=0.174, hyp_len=3923, ref_len=22601)
refence 1
wait_1  BLEU = 16.90, 53.8/24.1/12.4/7.0 (BP=0.924, ratio=0.927, hyp_len=22402, ref_len=24169)
wait_2  BLEU = 16.74, 54.8/25.2/13.5/8.0 (BP=0.851, ratio=0.861, hyp_len=20818, ref_len=24169)
wait_3  BLEU = 14.18, 55.6/25.6/13.7/8.1 (BP=0.711, ratio=0.746, hyp_len=18022, ref_len=24169)
wait_4  BLEU = 8.35, 57.9/27.0/15.0/9.1 (BP=0.388, ratio=0.514, hyp_len=12422, ref_len=24169)
wait_5  BLEU = 4.31, 59.6/29.0/16.7/10.7 (BP=0.183, ratio=0.371, hyp_len=8956, ref_len=24169)
